Theta1,Theta2,Theta3
-0.14456463,63.778587,102.94926
2.1707473,76.9159,103.96478
3.322946,77.50676,104.79953
4.538127,77.97863,105.62288
5.8913326,78.47877,106.4816
6.764675,78.35328,107.343414
7.9264917,77.961555,107.92086
9.270378,77.684395,108.50807
11.122016,77.31486,109.12564
12.455596,76.975426,109.719376
14.329957,76.765015,110.29437
17.181921,76.58317,110.87894
19.231031,76.36512,111.39357
20.745611,76.167625,111.88286
22.013046,76.00892,112.32744
23.191813,75.95316,112.54257
26.389929,75.789734,112.75387
29.251627,75.526184,112.99346
31.471733,75.26264,113.22991
33.687183,75.00819,113.47161
35.41343,74.80946,113.71838
36.9929,74.62434,113.93608
39.122597,74.439224,114.194725
41.55738,74.254295,114.3474
43.962368,74.09098,114.2661
45.488,73.9444,114.16835
47.23494,73.80156,114.15994
50.54268,73.69221,114.21036
53.500824,73.73904,114.05495
55.463104,73.79327,113.77844
56.910374,73.862816,113.41001
59.677242,73.96281,112.81853
61.551273,74.179855,112.19823
63.29278,74.40245,111.56921
65.700615,74.666145,110.921844
67.10827,74.97733,110.08317
68.4007,75.33285,109.27457
70.642166,75.76916,108.47231
72.74132,76.26938,107.70859
75.26278,76.884544,106.95711
77.087776,77.517586,106.17328
78.244026,78.24168,105.26919
79.731445,79.039696,104.401215
81.49973,79.75975,103.57193
83.36979,80.55125,102.81308
84.6237,81.3691,102.06088
85.85131,82.188774,101.339005
87.16825,83.01259,100.67689
88.62854,83.85572,100.01493
90.06417,84.80417,99.18683
90.06417,84.80417,99.18683
90.06713,84.95704,100.03342
90.0701,85.142746,100.63816
90.07306,85.33232,101.20454
90.07603,85.54427,101.83309
90.07899,85.798485,102.48073
90.08195,86.065056,103.0836
90.08491,86.3488,103.6965
90.08788,86.64589,104.34338
90.09084,86.93159,104.99556
90.0938,87.22757,105.65274
90.09677,87.52627,106.37081
90.09973,87.7768,107.12457
90.10269,88.02767,107.878334
90.10566,88.319984,108.645905
90.10862,88.64454,109.41704
90.11158,89.001076,110.18875
90.114555,89.37293,110.977264
90.117516,89.744804,111.80069
90.12047,90.12242,112.55271
90.123436,90.51275,113.317215
90.1264,90.906,114.088295
90.12937,91.2492,114.85128
90.13233,91.61295,115.564545
90.13529,92.01623,116.19603
90.13581,92.51803,116.64923
90.13456,93.04232,117.06816
90.13331,93.593704,117.452545
90.13206,94.29943,117.73152
90.13082,95.14329,118.01341
90.12957,96.36632,118.30055
90.12832,97.52663,118.59772
90.12707,98.450264,118.83335
90.12582,99.45551,118.993484
90.124565,100.496346,119.09775
90.12332,101.55111,119.197525
90.12207,102.35752,119.29866
90.12083,102.83129,119.41199
90.11985,103.31221,119.52773
90.11962,103.79313,119.64848
90.11939,104.274055,119.647064
90.11918,104.76853,119.62979
90.11895,105.287285,119.5956
90.11874,105.835655,119.56266
90.11851,106.43848,119.5272
90.11829,107.06818,119.47952
90.118065,107.697876,119.42053
90.11465,108.327576,119.35909
90.109985,108.983055,119.20676
90.10532,109.65481,119.00261
90.10532,109.65481,119.00261
88.663315,109.28799,120.06211
87.29162,108.99467,121.15794
85.906425,108.72054,122.31117
84.67693,108.493965,123.41866
83.39331,108.27087,124.28209
81.67272,108.020905,125.06693
79.88741,107.773346,125.851776
78.42981,107.52685,126.63526
77.07993,107.280815,127.417435
75.34402,107.02708,128.1996
72.75576,106.7705,128.97551
70.59593,106.53582,129.74773
68.337166,106.32793,130.51677
66.99555,106.12028,131.356
65.56821,105.90611,132.22435
63.164177,105.70717,133.09785
61.455723,105.52958,133.93419
59.5826,105.4778,134.80917
56.801952,105.438,135.71626
55.37726,105.41581,136.62233
53.308323,105.44514,136.96541
50.4336,105.47022,137.21999
47.223618,105.499275,137.47162
45.529144,105.54699,137.73409
44.02055,105.61673,137.8965
41.728455,105.782036,138.04189
39.11005,105.99392,138.18727
37.248184,106.25158,138.20538
35.500156,106.60086,137.97601
33.591293,106.95077,137.74666
31.10752,107.31408,137.48943
28.861868,107.69463,136.92888
25.399973,108.12919,136.35196
23.352682,108.61436,135.44954
22.244644,109.12303,134.45494
20.971062,109.40151,133.39107
19.320864,109.5888,132.3272
17.000553,109.77608,131.26332
14.428021,109.59671,130.3084
12.564574,109.35563,129.50171
10.773202,109.15863,128.69504
9.031149,109.09795,127.88836
7.645443,108.97657,126.60953
6.8653336,108.94028,125.18234
6.129162,108.93342,123.81945
4.909201,109.60921,122.477844
3.6717381,110.29123,121.14295
2.3033917,110.88944,119.80804
-0.01736343,110.86925,118.405945
-0.01736343,110.86925,118.405945
-0.025805712,109.48614,118.17988
-0.030802488,108.21729,117.95381
-0.033375144,107.03904,117.72773
-0.03982413,105.842155,117.50166
-0.046274066,104.662735,117.27559
-0.050524473,103.52938,117.04952
-0.053504825,102.43636,116.821625
-0.056486487,101.29443,116.590294
-0.05946684,100.091835,116.358376
-0.062446594,98.76888,116.12646
-0.06542909,97.427635,115.89454
-0.06840944,96.06136,115.67325
-0.07138908,94.75988,115.4824
-0.07437074,93.51054,115.29155
-0.07735002,92.23495,115.10069
-0.0803324,90.964226,114.90983
-0.08331263,89.76869,114.71898
-0.0864985,88.55962,114.528114
-0.08984661,87.40434,114.337265
-0.09319854,86.3088,114.1464
-0.09654856,85.25829,113.95555
-0.09989905,84.15393,113.75966
-0.103248715,83.03585,113.55158
-0.106598616,82.00912,113.341995
-0.10994935,81.02111,113.09612
-0.1132983,80.106575,112.79066
-0.116648436,79.22185,112.47886
-0.11999869,78.3499,112.1582
-0.12334943,77.48439,111.83388
-0.1266985,76.64056,111.509544
-0.1300484,75.8357,111.18321
-0.13339996,75.041725,110.841965
-0.13675094,74.27129,110.498634
-0.14010012,73.54766,110.15381
-0.14065504,72.83268,109.777466
-0.14093411,72.11795,109.3927
-0.14121509,71.407646,109.00794
-0.14149237,70.70496,108.62114
-0.14177251,70.02062,108.229095
-0.14205217,69.337524,107.8344
-0.14233017,68.715294,107.44586
-0.14260948,68.02842,106.98282
