Theta1,Theta2,Theta3
90.00287,84.33129,95.21162
90.33043,83.77099,95.801704
90.659004,83.19045,96.40271
91.376205,82.55019,96.990425
92.16778,81.899895,97.34594
92.95452,81.25097,97.69666
93.692116,80.61775,98.062965
94.55644,80.01039,98.46786
95.29522,79.41498,98.82421
95.753395,78.93601,99.18166
96.22566,78.55526,99.54482
96.69793,78.2044,99.91323
97.37592,77.85546,100.207794
98.41294,77.50651,100.50235
99.01572,77.15757,100.79579
99.82845,76.808624,101.04633
100.72245,76.45968,101.2892
101.699356,76.113365,101.53078
102.69392,75.79479,101.77236
103.74729,75.47981,102.00094
104.44584,75.16516,102.486916
104.93153,74.852295,102.97936
105.42814,74.54739,103.47168
106.067604,74.261894,103.96393
106.650276,73.98614,104.44188
107.9907,73.72214,104.91232
109.614845,73.44196,105.38172
110.8724,73.12282,105.851135
111.78344,72.803215,106.24804
112.77866,72.48888,106.554924
113.863625,72.21629,106.80842
114.902664,71.9779,107.00382
115.68291,71.73945,107.19686
116.46213,71.49686,107.38738
116.95501,71.20175,107.5779
117.447655,70.95829,107.76505
118.28723,70.71895,107.920296
120.03603,70.4796,108.075516
121.537476,70.2427,108.23075
122.92718,70.167015,108.38598
123.71281,70.12435,108.54121
124.58058,70.08518,108.69645
125.6583,70.04975,108.85167
126.90919,70.01431,109.006546
127.82087,70.03706,109.16139
128.68552,70.075966,109.30312
129.65276,70.10487,109.43189
130.55049,70.12564,109.557655
131.60286,70.12759,109.67829
132.78082,70.08677,109.7989
133.85107,70.05762,109.89532
134.84679,70.03081,109.93608
135.83934,70.004616,109.92193
136.86546,70.01589,109.89835
137.92287,70.053764,109.87478
138.92757,70.113235,109.830536
139.98712,70.13924,109.77636
141.19707,70.15688,109.722176
142.14552,70.18124,109.66799
143.27155,70.15341,109.61379
144.18394,70.164345,109.53047
145.09486,70.20314,109.39454
146.05739,70.24824,109.19686
146.85564,70.293884,108.933754
147.72249,70.34553,108.66956
148.56427,70.45342,108.345436
149.28435,70.56794,108.02043
149.9799,70.6998,107.68894
150.82915,70.80022,107.29102
151.49959,70.90743,106.89301
152.22829,70.99686,106.49499
153.10999,71.07644,106.09692
153.86458,71.181816,105.69866
154.83374,71.41179,105.3004
156.12315,71.66869,104.90214
157.02168,71.9256,104.50387
157.74913,72.1825,104.10561
158.47658,72.47019,103.704865
159.204,72.77424,103.26342
160.07983,73.11819,102.82197
160.75002,73.47553,102.3805
161.58119,73.832886,102.12383
162.4704,74.145,101.912865
163.36092,74.43927,101.70129
164.241,74.78498,101.48972
164.94745,75.1659,101.27744
165.5205,75.54682,101.063774
166.18416,75.9335,100.850365
166.8478,76.360725,100.638725
167.51146,76.79279,100.39177
168.17513,77.16911,100.12255
168.83878,77.4847,99.84641
169.50243,77.78974,99.51393
170.16609,78.04867,99.1688
170.82918,78.12278,98.76595
171.80043,78.17837,98.315254
172.75096,78.24193,97.87055
173.78943,78.08825,97.38549
169.89279,63.086372,96.83749
-1.5805576,9.4216,96.293785
